Date,WindPower,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
2020/10/1 0:00,35622,6,12116,104,5.1,69,922,10.2,35622,
2020/10/1 0:15,34385,6.1,12474,101,5,69,922,9.9,34385,
2020/10/1 0:30,32043,6.3,12843,98,4.9,70,922,9.5,32043,
2020/10/1 0:45,30260,6.3,13213,95,4.8,71,922,9.3,30260,
2020/10/1 1:00,29583,6.5,13582,93,4.7,72,922,9.1,29583,
2020/10/1 1:15,30187,6.7,14026,91,4.6,72,922,9.1,30187,
2020/10/1 1:30,29898,6.8,14545,90,4.7,72,922,9.3,29898,
2020/10/1 1:45,26576,6.9,15064,88,4.7,71,921,8.8,26576,
2020/10/1 2:00,18939,7,15583,86,4.8,71,921,8,18939,
2020/10/1 2:15,13410,7.2,16118,85,4.8,71,921,7.3,13410,
2020/10/1 2:30,12027,7.3,16670,86,4.8,71,921,7.1,12027,
2020/10/1 2:45,11110,7.4,17221,87,4.7,72,920,6.9,11110,
2020/10/1 3:00,12758,7.5,17773,88,4.7,72,920,7,12758,
2020/10/1 3:15,14756,7.5,18377,88,4.6,72,920,7.4,14756,
2020/10/1 3:30,17758,7.6,19032,89,4.5,73,920,7.9,17758,
2020/10/1 3:45,14230,7.6,19687,90,4.3,73,920,7.1,14230,
2020/10/1 4:00,12967,7.7,20342,91,4.2,74,920,7.1,12967,
2020/10/1 4:15,10418,7.7,21021,91,4,74,920,6.5,10418,
2020/10/1 4:30,9561,7.8,21724,90,3.9,75,920,6.5,9561,
2020/10/1 4:45,7807,7.9,22427,89,3.8,75,920,6.2,7807,
2020/10/1 5:00,20094,8,23130,89,3.7,76,920,7.8,20094,
2020/10/1 5:15,25261,8,23578,89,3.6,76,920,8.4,25261,
2020/10/1 5:30,20204,8.1,23771,88,3.6,76,920,7.7,20204,
2020/10/1 5:45,19242,8.1,23964,87,3.6,75,919,7.6,19242,
2020/10/1 6:00,15011,8.2,24157,87,3.6,75,919,7.3,15011,
2020/10/1 6:15,19071,8.2,24130,87,3.7,75,919,7.7,19071,
2020/10/1 6:30,15004,8.2,23883,86,3.8,74,919,7,15004,
2020/10/1 6:45,24065,8.2,23636,85,4,74,919,8.2,24065,
2020/10/1 7:00,20376,8.2,23389,84,4.1,73,919,8,20376,
2020/10/1 7:15,21295,8.2,23220,84,4.4,72,919,7.9,21295,
2020/10/1 7:30,23497,8.3,23131,83,4.7,71,919,8.2,23497,
2020/10/1 7:45,22399,8.4,23041,82,5,70,919,7.8,22399,
2020/10/1 8:00,21316,8.4,22952,82,5.3,69,919,7.9,21316,
2020/10/1 8:15,25239,8.4,22583,82,5.6,68,919,8.3,25239,
2020/10/1 8:30,27967,8.3,21936,82,5.7,68,919,8.7,27967,
2020/10/1 8:45,24052,8.2,21288,82,5.9,67,919,8.1,24052,
2020/10/1 9:00,26491,8.1,20641,82,6,67,919,8.7,26491,
2020/10/1 9:15,20944,8.1,20704,82,6.2,67,919,7.7,20944,
2020/10/1 9:30,20778,8.2,21478,82,6.4,67,919,7.8,20778,
2020/10/1 9:45,17296,8.2,22253,83,6.6,67,918,7.5,17296,
2020/10/1 10:00,20278,8.3,23027,83,6.8,67,918,7.9,20278,
2020/10/1 10:15,25574,8.5,24165,83,6.9,68,918,8.4,25574,
2020/10/1 10:30,25555,8.8,25666,84,7,69,918,8.5,25555,
2020/10/1 10:45,33473,9.1,27167,85,7.1,70,918,9.5,33473,
2020/10/1 11:00,31621,9.5,28668,86,7.2,71,918,9.3,31621,
2020/10/1 11:15,30917,10,30241,88,7.1,72,918,9.4,30917,
2020/10/1 11:30,42773,10.6,31886,90,7,74,918,11.7,42773,
2020/10/1 11:45,48385,11.2,33532,92,6.8,77,917,13,48385,
2020/10/1 12:00,46822,11.8,35177,93,6.7,79,917,12.1,46822,
2020/10/1 12:15,45291,12.1,36371,93,6.5,81,917,11.5,45291,
2020/10/1 12:30,48000,12,37114,92,6.2,83,917,12.6,48000,
2020/10/1 12:45,48033,11.9,37857,90,5.9,86,917,12.4,48033,
2020/10/1 13:00,48171,11.8,38600,89,5.6,88,917,12.6,48171,
2020/10/1 13:15,48146,11.8,39361,87,5.4,89,917,12.6,48146,
2020/10/1 13:30,48656,12,40141,86,5.3,90,917,13.6,48656,
2020/10/1 13:45,48481,12.2,40921,84,5.3,90,916,13.5,48481,
2020/10/1 14:00,48414,12.4,41701,83,5.2,91,916,15,48414,
2020/10/1 14:15,48422,12.5,42153,82,5.2,91,916,14.9,48422,
2020/10/1 14:30,48241,12.4,42278,81,5.1,92,916,13.7,48241,
2020/10/1 14:45,47678,12.4,42403,81,5,92,916,12,47678,
2020/10/1 15:00,48058,12.3,42528,80,4.9,93,916,12.5,48058,
2020/10/1 15:15,45173,12.2,42640,79,4.9,93,916,12,45173,
2020/10/1 15:30,46140,12.2,42740,79,4.8,93,916,11.3,46140,
2020/10/1 15:45,44995,12.2,42841,80,4.8,93,916,10.8,44995,
2020/10/1 16:00,42085,12.2,42941,80,4.7,93,916,10.4,42085,
