Date,WindPower,Wind speed | (m/s),Wind direction | (deg),Pressure | (atm),Air temperature | ('C)
2020/1/1 0:00,1766.64,9.926,128,1.00048,18.263
2020/1/1 1:00,1433.83,9.273,135,0.99979,18.363
2020/1/1 2:00,1167.23,8.66,142,0.999592,18.663
2020/1/1 3:00,1524.59,9.461,148,0.998309,18.763
2020/1/1 4:00,1384.28,9.184,150,0.998507,18.963
2020/1/1 5:00,1293.93,8.996,149,0.998507,19.063
2020/1/1 6:00,1301.63,9.016,151,0.998211,19.113
2020/1/1 7:00,1308.13,9.036,154,0.997815,19.163
2020/1/1 8:00,792.081,7.612,154,1.00028,19.363
2020/1/1 9:00,399.537,6.129,162,1.00295,19.963
2020/1/1 10:00,362.988,5.961,152,1.00048,20.763
2020/1/1 11:00,951.359,8.117,141,1.00068,21.063
2020/1/1 12:00,1549.75,9.54,141,0.996926,21.063
2020/1/1 13:00,1835.22,10.094,136,1.00028,20.763
2020/1/1 14:00,1208.37,8.789,137,0.998801,20.663
2020/1/1 15:00,686.154,7.286,126,0.999986,20.663
2020/1/1 16:00,624.105,7.088,122,0.999591,20.563
2020/1/1 17:00,678.936,7.266,121,0.997715,20.363
2020/1/1 18:00,1187.51,8.739,116,0.996334,20.363
2020/1/1 19:00,1881.72,10.212,126,0.994952,20.363
2020/1/1 20:00,1685.91,9.797,132,0.998406,20.363
2020/1/1 21:00,1188.7,8.729,149,1.00048,20.263
2020/1/1 22:00,939.228,8.087,155,0.99821,20.263
2020/1/1 23:00,772.632,7.563,160,0.998703,20.263
2020/1/2 0:00,1006.16,8.265,157,0.996432,20.163
2020/1/2 1:00,1150.85,8.631,157,0.998999,19.863
2020/1/2 2:00,1116.59,8.542,167,0.998802,19.663
2020/1/2 3:00,647.342,7.158,176,0.997914,19.563
2020/1/2 4:00,528.178,6.693,174,0.994952,19.463
2020/1/2 5:00,602.899,7.009,175,0.996335,19.263
2020/1/2 6:00,591.48,6.96,162,0.996433,19.513
